PLAYER,POS,MPG,FG.,FT.,X3PM,PTS,TREB,AST,STL,BLK,TO,PUNT_FG,PUNT_FT,PUNT_3PM,PUNT_PTS,PUNT_AST,PUNT_STL,PUNT_BLK,PUNT_TO
Trae Young,PG,35.3,0.44,0.86,3.4,29.6,4.2,9.3,1.1,0.1,4.8,0,0,0,0,0,0,0,1
Bradley Beal,SG,36,0.45,0.85,3,30.6,4.2,6.1,1.3,0.4,3.4,0,0,0,0,0,0,0,1
LeBron James,"PG,SF,PF",34.9,0.5,0.7,2.2,25.7,7.8,10.6,1.2,0.5,4,0,1,0,0,0,0,0,1
Devin Booker,"PG,SG",36.1,0.49,0.92,2,26.1,4.1,6.6,0.7,0.3,3.9,0,0,0,0,0,0,0,1
Luka Doncic,"PG,SG,SF",33.3,0.46,0.75,2.9,28.7,9.3,8.7,1.1,0.2,4.2,0,1,0,0,0,0,0,1
Russell Westbrook,PG,35.9,0.47,0.78,1,27.5,8.1,7,1.7,0.3,4.5,0,0,1,0,0,0,0,1
Ben Simmons ,PG,35.7,0.59,0.62,0,16.7,7.9,8.2,2.1,0.6,3.6,0,0,1,0,0,0,0,1
Jrue Holiday,"PG,SG",34.9,0.46,0.71,2.1,19.6,4.9,6.9,1.7,0.8,2.9,0,0,0,0,0,0,0,1
Lonzo Ball,PG,32.4,0.41,0.58,2.5,12.4,6.2,6.9,1.4,0.5,3.1,1,0,0,0,0,0,0,1
De'Aaron Fox,PG,31.7,0.47,0.71,1,20.4,4,6.7,1.4,0.5,3.2,0,0,1,0,0,0,0,1
